# Sparvio 1.5.0 log file. Logging started at 12:01:19.170 UTC.
# Logged components:
# SKH1_70727633 (id=1): 
#   Serial number; 1886549555
#   App and version; 3; 3.008

Time (UTC); SKH1_70727633.pr; SKH1_70727633.bat; SKH1_70727633.temp; SKH1_70727633.rh
12:06:13.324; 100375; 7.069; 22.41; 65.49
12:06:14.325; 100376; 7.102; 22.43; 65.31
12:06:15.324; 100376; 7.081; 22.48; 65.14
12:06:16.325; 100377; 7.06; 22.47; 64.9
12:06:17.321; 100376; 7.055; 22.48; 64.67
12:06:18.322; 100376; 7.114; 22.48; 64.45
12:06:19.321; 100378; 7.08; 22.47; 64.21
12:06:20.321; 100377; 7.124; 22.45; 63.95
12:06:21.321; 100378; 7.084; 22.43; 63.71
12:06:22.321; 100378; 7.077; 22.4; 63.5
12:06:23.321; 100379; 7.024; 22.38; 63.22
12:06:24.321; 100378; 7.101; 22.34; 62.95
12:06:25.321; 100378; 7.07; 22.28; 62.69
12:06:26.321; 100378; 7.115; 22.22; 62.52
12:06:27.321; 100380; 7.094; 22.17; 62.29
12:06:28.321; 100380; 7.061; 22.13; 62.1
12:06:29.321; 100379; 7.069; 22.09; 61.89
12:06:30.322; 100379; 7.138; 22.0; 61.67
12:06:31.321; 100378; 7.029; 21.96; 61.52
12:06:32.322; 100380; 7.096; 21.88; 61.36
12:06:33.321; 100379; 7.048; 21.81; 61.17
12:06:34.321; 100379; 7.071; 21.72; 61.07
12:06:35.321; 100380; 7.055; 21.67; 60.95
12:06:36.321; 100380; 7.064; 21.6; 60.76
12:06:37.321; 100380; 7.052; 21.49; 60.66
12:06:38.321; 100381; 7.06; 21.41; 60.61
12:06:39.321; 100381; 7.075; 21.33; 60.51
12:06:40.321; 100380; 7.046; 21.26; 60.44
12:06:41.321; 100381; 7.117; 21.16; 60.34
12:06:42.323; 100382; 7.062; 21.06; 60.25
12:06:43.321; 100382; 7.065; 20.99; 60.16
12:06:44.321; 100382; 7.098; 20.9; 60.18
12:06:45.321; 100383; 7.035; 20.79; 60.07
12:06:46.321; 100381; 7.107; 20.71; 60.05
12:06:47.319; 100381; 7.068; 20.59; 60.03
12:06:48.319; 100382; 7.07; 20.49; 59.98
12:06:49.319; 100382; 7.039; 20.42; 59.95
12:06:50.319; 100382; 7.091; 20.34; 59.94
12:06:51.319; 100381; 7.114; 20.23; 59.94
12:06:52.319; 100382; 7.077; 20.13; 59.95
12:06:53.319; 100382; 7.109; 20.02; 59.94
12:06:54.319; 100380; 7.036; 19.92; 59.93
12:06:55.319; 100381; 7.107; 19.82; 59.94
12:06:56.319; 100382; 7.106; 19.75; 59.97
12:06:57.319; 100381; 7.072; 19.64; 59.95
12:06:58.319; 100368; 7.074; 19.52; 59.98
12:06:59.319; 100383; 7.064; 19.44; 60.06
12:07:00.319; 100391; 7.091; 19.34; 60.05
12:07:01.319; 100369; 7.047; 19.29; 60.18
12:07:02.319; 100371; 7.073; 19.2; 60.42
12:07:03.319; 100373; 7.057; 19.2; 60.71
12:07:04.319; 100375; 7.103; 19.18; 61.1
12:07:05.319; 100375; 7.036; 19.23; 61.55
12:07:06.319; 100376; 7.046; 19.27; 62.07
12:07:07.319; 100375; 7.063; 19.31; 62.57
12:07:08.319; 100376; 7.078; 19.36; 63.04
12:07:09.319; 100375; 7.064; 19.42; 63.46
12:07:10.319; 100376; 7.038; 19.48; 63.93
12:07:11.320; 100374; 7.036; 19.55; 64.31
