# Sparvio 1.5.0 log file. Logging started at 13:23:30.420 UTC.
# Logged components:
# SKH1_70727633 (id=1): 
#   Serial number; 1886549555
#   App and version; 3; 3.007
# C (id=3): 
#   Serial number; 1851030050
#   App and version; 18; 2.006

Time (UTC); SKH1_70727633.pr; SKH1_70727633.bat; SKH1_70727633.temp; SKH1_70727633.rh; C.wspd; C.wdir; C.windU; C.windV; C.windW; C.temp; C.rh; C.pr; C.pitch; C.roll; C.heading
13:23:46.714; ; ; ; ; 0.11; 71; -0.08; -0.03; 0.07; 20.18; 37.9; 100965; 19.9; -19.1; 39
13:23:46.914; 100787; 7.443; 24.85; 18.25; 0.11; 63; -0.08; -0.04; 0.06; 20.11; 38.2; 100964; 19.9; -19.1; 39
13:23:47.114; ; ; ; ; 0.11; 73; -0.1; -0.03; 0.06; 20.02; 38.3; 100965; 19.9; -19.1; 39
13:23:47.314; ; ; ; ; 0.12; 63; -0.1; -0.05; 0.06; 19.95; 38.6; 100964; 19.9; -19.1; 39
13:23:47.514; ; ; ; ; 0.1; 53; -0.07; -0.06; 0.05; 19.91; 38.6; 100964; 19.9; -19.1; 39
13:23:47.714; ; ; ; ; 0.09; 73; -0.07; -0.02; 0.06; 19.93; 38.6; 100963; 19.9; -19.1; 39
13:23:47.916; 100786; 7.444; 24.84; 18.19; 0.09; 67; -0.07; -0.03; 0.05; 19.92; 38.8; 100964; 19.9; -19.1; 39
13:23:48.114; ; ; ; ; 0.12; 70; -0.09; -0.03; 0.07; 19.93; 38.7; 100964; 19.9; -19.1; 39
13:23:48.314; ; ; ; ; 0.1; 67; -0.08; -0.03; 0.06; 19.93; 38.6; 100964; 19.9; -19.1; 39
13:23:48.515; ; ; ; ; 0.09; 65; -0.07; -0.03; 0.05; 19.94; 38.7; 100963; 19.9; -19.1; 39
13:23:48.714; ; ; ; ; 0.1; 63; -0.08; -0.04; 0.05; 19.92; 38.6; 100963; 19.9; -19.1; 39
13:23:48.914; 100785; 7.466; 24.85; 18.19; 0.12; 68; -0.1; -0.04; 0.05; 19.9; 38.7; 100965; 19.9; -19.1; 39
13:23:49.114; ; ; ; ; 0.13; 64; -0.11; -0.05; 0.05; 19.9; 38.7; 100964; 19.9; -19.1; 39
13:23:49.314; ; ; ; ; 0.1; 70; -0.08; -0.03; 0.06; 19.9; 38.7; 100965; 19.9; -19.1; 39
13:23:49.515; ; ; ; ; 0.12; 55; -0.08; -0.06; 0.07; 19.91; 38.6; 100963; 20.0; -19.1; 39
13:23:49.714; ; ; ; ; 0.11; 63; -0.09; -0.04; 0.06; 19.93; 38.7; 100963; 19.9; -19.1; 39
13:23:49.916; 100785; 7.498; 24.82; 18.22; 0.12; 65; -0.09; -0.04; 0.06; 19.96; 38.6; 100965; 19.9; -19.1; 39
13:23:50.114; ; ; ; ; 0.09; 65; -0.07; -0.03; 0.05; 20.02; 38.4; 100965; 19.9; -19.1; 39
13:23:50.314; ; ; ; ; 0.09; 58; -0.06; -0.04; 0.06; 20.04; 38.3; 100963; 19.9; -19.1; 39
13:23:50.515; ; ; ; ; 0.1; 74; -0.07; -0.02; 0.07; 20.03; 38.5; 100965; 19.9; -19.1; 39
13:23:50.713; ; ; ; ; 0.12; 64; -0.07; -0.04; 0.09; 19.99; 38.5; 100963; 19.9; -19.1; 39
