# Sparvio 1.5.0 log file. Logging started at 12:51:02.973 UTC.
# Logged components:
# SKH1_70727633 (id=1): 
#   Serial number; 1886549555
#   App and version; 3; 3.008
# C (id=3): 
#   Serial number; 1851030050
#   App and version; 18; 2.007

Time (UTC); SKH1_70727633.pr; SKH1_70727633.bat; SKH1_70727633.temp; SKH1_70727633.rh; SKH1_70727633.lat; SKH1_70727633.lon; SKH1_70727633.alt; C.wspd; C.wdir; C.windU; C.windV; C.windW; C.temp; C.rh; C.pr; C.pitch; C.roll; C.heading
12:51:23.486; ; ; ; ; ; ; ; 0.99; 183; 0.05; 0.93; -0.35; 25.56; 61.5; 100434; 15.7; -26.8; 0
12:51:23.681; ; ; ; ; ; ; ; 0.78; 194; 0.18; 0.74; -0.16; 25.95; 60.0; 100433; 15.4; -23.2; 0
12:51:23.879; ; ; ; ; ; ; ; 0.98; 183; 0.05; 0.93; -0.32; 24.56; 65.0; 100433; 12.4; -24.3; 0
12:51:24.079; ; ; ; ; ; ; ; 1.19; 182; 0.04; 1.15; -0.31; 25.85; 60.2; 100433; 12.0; -19.0; 0
12:51:24.279; 100257; 7.366; 31.42; 33.15; 45.510418; 9.212113; 191.2; 1.25; 181; 0.01; 1.21; -0.34; 27.27; 55.4; 100431; 13.4; -13.9; 0
12:51:24.482; ; ; ; ; ; ; ; 1.16; 190; 0.19; 1.12; -0.26; 24.73; 64.4; 100431; 5.7; -21.4; 0
12:51:24.679; ; ; ; ; ; ; ; 1.21; 200; 0.41; 1.12; -0.2; 24.02; 67.1; 100430; -4.9; -17.2; 0
12:51:24.879; ; ; ; ; ; ; ; 1.13; 203; 0.44; 1.03; -0.09; 25.13; 62.6; 100428; -15.6; -23.3; 0
12:51:25.079; ; ; ; ; ; ; ; 0.3; 298; 0.27; -0.14; -0.03; 26.35; 58.3; 100426; -25.5; -30.6; 0
12:51:25.279; 100254; 7.349; 31.39; 32.02; 45.510381; 9.211923; 186.0; 0.28; 280; 0.26; -0.04; -0.1; 26.66; 57.1; 100426; -40.1; -30.8; 0
12:51:25.482; ; ; ; ; ; ; ; 1.1; 296; 0.98; -0.47; 0.21; 26.35; 58.1; 100427; -29.8; -39.1; 0
12:51:25.680; ; ; ; ; ; ; ; 0.78; 285; 0.69; -0.19; 0.3; 26.27; 58.3; 100428; -30.3; -23.2; 0
12:51:25.879; ; ; ; ; ; ; ; 1.25; 202; 0.47; 1.15; 0.1; 25.14; 62.3; 100429; -16.1; -16.8; 0
12:51:26.078; ; ; ; ; ; ; ; 1.47; 181; 0.02; 1.45; -0.19; 25.95; 59.4; 100428; -8.1; -2.6; 0
12:51:26.278; 100254; 7.332; 31.48; 31.4; 45.510365; 9.21195; 189.2; 0.94; 153; -0.39; 0.77; -0.38; 26.56; 57.2; 100430; 5.9; -2.5; 0
12:51:26.481; ; ; ; ; ; ; ; 0.46; 82; -0.41; -0.06; -0.2; 25.84; 59.5; 100431; 6.3; -3.3; 0
12:51:26.678; ; ; ; ; ; ; ; 0.55; 157; -0.19; 0.46; -0.23; 24.98; 62.6; 100428; -1.4; -12.0; 0
12:51:26.878; ; ; ; ; ; ; ; 0.98; 180; 0.0; 0.94; -0.3; 24.96; 62.7; 100427; 2.3; -6.3; 0
12:51:27.079; ; ; ; ; ; ; ; 1.38; 182; 0.04; 1.37; -0.16; 23.97; 66.4; 100426; -2.2; -13.2; 0
12:51:27.278; 100254; 7.379; 31.42; 31.01; 45.510358; 9.211978; 190.6; 1.55; 185; 0.13; 1.5; -0.35; 23.9; 66.6; 100425; 3.9; -6.5; 0
12:51:27.479; ; ; ; ; ; ; ; 1.37; 184; 0.08; 1.31; -0.39; 23.83; 66.8; 100423; -0.4; 3.4; 0
12:51:27.680; ; ; ; ; ; ; ; 1.12; 184; 0.08; 1.06; -0.38; 24.15; 65.4; 100421; -1.5; -7.0; 0
12:51:27.878; ; ; ; ; ; ; ; 0.74; 224; 0.51; 0.53; -0.06; 24.16; 65.3; 100421; 5.9; -20.4; 0
12:51:28.078; ; ; ; ; ; ; ; 0.67; 265; 0.66; 0.05; 0.12; 24.83; 62.6; 100422; -5.6; -28.9; 0
12:51:28.278; 100248; 7.369; 31.26; 30.67; 45.510341; 9.211815; 180.0; 0.76; 242; 0.67; 0.35; 0.08; 24.9; 62.4; 100421; -6.2; -25.0; 0
12:51:28.480; ; ; ; ; ; ; ; 0.56; 242; 0.5; 0.26; -0.05; 25.11; 61.4; 100420; 8.3; -19.5; 0
12:51:28.678; ; ; ; ; ; ; ; 0.55; 298; 0.48; -0.25; -0.02; 25.3; 60.7; 100421; 15.7; -15.4; 0
12:51:28.878; ; ; ; ; ; ; ; 0.87; 281; 0.85; -0.17; 0.01; 24.86; 62.3; 100421; 12.5; -20.7; 0
12:51:29.078; ; ; ; ; ; ; ; 1.06; 278; 1.05; -0.15; -0.01; 24.59; 63.4; 100420; 11.3; -19.2; 0
12:51:29.278; 100247; 7.343; 31.2; 30.58; 45.510353; 9.211883; 181.9; 1.11; 294; 1.0; -0.44; 0.18; 24.57; 63.2; 100422; 11.1; -21.5; 0
12:51:29.479; ; ; ; ; ; ; ; 1.36; 301; 1.16; -0.7; -0.01; 24.36; 64.1; 100422; 1.1; -17.7; 0
12:51:29.679; ; ; ; ; ; ; ; 1.2; 288; 1.15; -0.37; -0.01; 24.63; 63.0; 100421; -6.8; -20.5; 0
12:51:29.877; ; ; ; ; ; ; ; 1.36; 290; 1.26; -0.46; 0.2; 25.11; 61.2; 100422; 2.4; -30.3; 0
12:51:30.077; ; ; ; ; ; ; ; 1.38; 291; 1.21; -0.47; 0.47; 25.32; 60.4; 100420; 4.0; -29.0; 0
12:51:30.277; 100247; 7.373; 31.14; 30.62; 45.51036; 9.211936; 183.5; 1.08; 280; 0.99; -0.18; 0.39; 25.6; 59.2; 100422; 6.9; -22.2; 0
12:51:30.478; ; ; ; ; ; ; ; 1.09; 291; 1.02; -0.39; 0.07; 25.59; 59.3; 100422; 7.3; -14.4; 0
12:51:30.677; ; ; ; ; ; ; ; 1.27; 312; 0.93; -0.84; -0.22; 25.45; 59.9; 100422; 14.2; 0.2; 0
12:51:30.877; ; ; ; ; ; ; ; 1.33; 305; 1.07; -0.75; 0.21; 25.75; 58.7; 100421; 20.1; -3.6; 0
12:51:31.076; ; ; ; ; ; ; ; 0.65; 321; 0.34; -0.43; 0.35; 25.97; 57.8; 100421; 19.3; -9.4; 0
12:51:31.276; 100247; 7.317; 31.08; 30.73; 45.510381; 9.21191; 176.7; 0.3; 73; -0.28; -0.09; 0.06; 25.78; 58.4; 100422; 13.4; -16.2; 0
12:51:31.477; ; ; ; ; ; ; ; 0.21; 256; 0.2; 0.05; 0.01; 25.83; 58.3; 100422; 7.2; -21.6; 0
12:51:31.678; ; ; ; ; ; ; ; 0.71; 182; 0.03; 0.67; -0.21; 25.47; 59.4; 100422; 4.8; -21.5; 0
12:51:31.876; ; ; ; ; ; ; ; 0.68; 178; -0.02; 0.66; -0.17; 25.41; 59.6; 100422; 7.0; -17.4; 0
